s2aq2,s2aq4,weight,exp,lnw
P2,No,344.31,23,
JSS3/JHS3,No,344.31,1,
P1,Yes,344.31,-9,
None,Yes,344.31,-11,
M4,No,344.31,30,
P2,No,344.31,10,
None,Yes,344.31,-8,
.,.,344.31,,
.,.,344.31,,
P3,No,344.31,4,
P1,Yes,344.31,-7,
None,Yes,344.31,-8,
None,Yes,344.31,-9,
.,.,344.31,,
.,.,,,
M4,No,344.31,26,
.,.,,,
.,.,,,
JSS1/JHS1,No,344.31,27,
Pre school,No,344.31,20,
SS1/SHS1,Yes,344.31,5,
P5,No,344.31,4,
P3,Yes,344.31,-2,
None,Yes,344.31,-11,
.,.,,,
tech training,No,344.31,10,
SSS3/SHS3,No,344.31,5,
.,.,,,
P4,No,344.31,32,
P2,No,344.31,13,
P4,No,344.31,10,
SSS3/SHS3,No,344.31,40,
tech training,No,344.31,35,8.188689
SSS3/SHS3,No,344.31,1,
SS1/SHS1,Yes,344.31,7,
SSS3/SHS3,Yes,344.31,0,
JSS1/JHS1,No,344.31,12,
JSS3/JHS3,No,344.31,9,
None,Yes,344.31,-10,
.,.,,,
M4,No,344.31,22,7.495542
M4,No,344.31,20,
SS1/SHS1,Yes,344.31,3,
JSS/JHS 2,Yes,344.31,-4,
P4,Yes,344.31,-5,
Pre school,Yes,344.31,-7,
M4,No,344.31,61,
.,.,,,
.,.,,,
JSS3/JHS3,No,344.31,10,
SSS3/SHS3,Yes,344.31,4,
SSS3/SHS3,No,344.31,14,
JSS3/JHS3,No,344.31,14,
P1,Yes,344.31,-7,
.,.,,,
SS1/SHS1,No,344.31,19,
P1,Yes,344.31,-7,
M4,No,349.602,25,7.783224
JSS3/JHS3,No,349.602,20,7.495542
Pre school,Yes,349.602,-9,
Pre school,Yes,349.602,-9,
None,Yes,349.602,-12,
JSS3/JHS3,No,349.602,6,
P4,Yes,349.602,-3,
P4,Yes,349.602,-6,
JSS3/JHS3,Yes,349.602,3,
.,.,349.602,,8.517993
SS1/SHS1,Yes,349.602,4,
M4,No,349.602,32,7.090077
JSS3/JHS3,No,349.602,21,7.495542
JSS3/JHS3,No,349.602,18,
P6,Yes,349.602,-4,
P3,Yes,349.602,-6,
None,Yes,349.602,-10,
P6,Yes,349.602,-1,
P1,Yes,349.602,-7,
M4,No,349.602,54,7.272398
M2,No,349.602,43,7.090077
P6,No,349.602,32,
P4,No,349.602,6,
P5,No,349.602,4,
.,.,349.602,,
P4,No,349.602,2,
Nursing,No,349.602,9,8.699514
P6,No,349.602,4,
JSS3/JHS3,No,349.602,11,
P3,No,349.602,20,8.251664
P6,Yes,349.602,4,
P2,Yes,349.602,-3,
None,Yes,349.602,-8,
None,Yes,349.602,-8,
JSS1/JHS1,No,349.602,14,
Pre school,Yes,349.602,-4,
SSS3/SHS3,No,349.602,8,8.699514
JSS3/JHS3,No,349.602,16,8.716044
.,.,,,
P2,Yes,349.602,-1,
.,.,349.602,,7.863113
.,.,349.602,,
JSS1/JHS1,Yes,349.602,1,
P6,Yes,349.602,3,
P5,No,349.602,5,
P1,Yes,349.602,-5,
.,.,349.602,,
P4,Yes,349.602,-4,
None,Yes,349.602,-11,
None,Yes,349.602,-10,
.,.,,,
.,.,349.602,,
M1,No,349.602,37,7.090077
.,.,349.602,,6.579251
JSS3/JHS3,No,349.602,9,6.866933
JSS3/JHS3,No,349.602,5,
JSS3/JHS3,No,349.602,3,
P5,Yes,349.602,-4,
.,.,349.602,,
P2,No,349.602,36,6.214608
P3,No,349.602,20,8.716044
JSS1/JHS1,Yes,349.602,-1,
JSS/JHS 2,Yes,349.602,-1,
None,Yes,349.602,-11,
S5,No,349.602,,7.090077
None,Yes,349.602,-12,
P1,Yes,349.602,-7,
P5,Yes,349.602,-4,
M4,No,158.813,43,
.,.,158.813,,
.,.,158.813,,
Voc//Tec,No,158.813,,
JSS3/JHS3,No,158.813,7,
SSS3/SHS3,Yes,158.813,1,
SSS2/SHS2,Yes,158.813,1,
P6,Yes,158.813,-1,
P2,Yes,158.813,-6,
.,.,,,
JSS3/JHS3,No,158.813,17,
P4,No,158.813,15,
P2,Yes,158.813,-7,
None,Yes,158.813,-11,
.,.,,,
JSS1/JHS1,No,158.813,24,
P4,No,158.813,20,
P3,Yes,158.813,-2,
P1,Yes,158.813,-7,
Pre school,Yes,158.813,-12,
JSS1/JHS1,Yes,158.813,2,
JSS3/JHS3,No,158.813,13,
JSS3/JHS3,No,158.813,5,
.,.,158.813,,
P5,No,158.813,42,
P5,No,158.813,31,
SSS3/SHS3,Yes,158.813,1,
SSS3/SHS3,Yes,158.813,0,
P6,No,158.813,7,
SSS3/SHS3,No,158.813,11,
Nursing,No,158.813,7,9.035987
SSS3/SHS3,Yes,158.813,6,
Pre school,Yes,158.813,-9,
Polytechnic,No,158.813,9,
SSS3/SHS3,No,158.813,6,8.188689
Pre school,Yes,158.813,-8,
SSS3/SHS3,No,158.813,7,
Nursing,No,158.813,14,
SSS3/SHS3,No,158.813,10,
.,.,,,
.,.,,,
JSS3/JHS3,No,158.813,25,7.090077
P4,Yes,158.813,-4,
M4,No,158.813,35,
.,.,158.813,,
Nursing,Yes,158.813,4,
Voc//Tec,Yes,158.813,,
JSS1/JHS1,Yes,158.813,5,
JSS/JHS 2,Yes,158.813,1,
SSS2/SHS2,Yes,158.813,8,
P1,Yes,158.813,-10,
.,.,158.813,,
.,.,158.813,,
Voc//Tec,No,158.813,,
P4,No,313.357,35,8.517993
JSS3/JHS3,No,313.357,11,7.863113
P6,No,313.357,9,7.17012
.,.,,,
P1,Yes,313.357,-10,
.,.,,,
.,.,,,
.,.,313.357,,5.886104
Pre school,Yes,313.357,-8,
None,Yes,313.357,-11,
SS1/SHS1,No,313.357,17,7.759828
M4,No,313.357,34,7.864938
P5,No,313.357,23,
SSS3/SHS3,Yes,313.357,1,
P4,Yes,313.357,0,
P2,Yes,313.357,-3,
P1,Yes,313.357,-7,
Pre school,Yes,313.357,-7,
M4,No,313.357,42,7.17012
M4,No,313.357,28,8.616586
JSS/JHS 2,Yes,313.357,3,6.25575
P6,Yes,313.357,-1,
P2,Yes,313.357,-5,
Voc//Tec,No,313.357,,7.495542
SSS3/SHS3,Yes,313.357,7,8.5035
P6,No,313.357,12,8.517993
Voc//Tec,No,313.357,,7.17012
JSS3/JHS3,Yes,313.357,2,
P5,No,313.357,57,6.946976
.,.,,,
P3,Yes,313.357,-2,
M4,No,313.357,51,
P5,No,313.357,31,7.17012
P6,No,313.357,2,
JSS1/JHS1,Yes,313.357,-2,
P3,Yes,313.357,-4,
P6,No,313.357,3,5.560682
.,.,,,
.,.,313.357,,
JSS/JHS 2,No,313.357,29,
JSS1/JHS1,No,313.357,12,
JSS3/JHS3,No,313.357,5,8.606225
SS1/SHS1,Yes,313.357,2,
JSS3/JHS3,No,313.357,3,
.,.,,,
M4,No,313.357,31,7.642045
JSS/JHS 2,Yes,313.357,-1,
P1,No,313.357,37,6.661215
JSS1/JHS1,No,313.357,4,5.560682
P3,Yes,313.357,-4,
Pre school,Yes,313.357,-8,
None,Yes,313.357,-11,
None,Yes,313.357,-11,
None,Yes,313.357,-7,
P1,Yes,313.357,-7,
.,.,313.357,,
.,.,,,
P4,No,270.165,35,
SSS3/SHS3,No,270.165,11,8.944746
Other tertiary,No,270.165,,8.188689
SSS3/SHS3,No,270.165,13,9.035987
P5,No,270.165,16,6.661215
JSS/JHS 2,Yes,270.165,0,
None,Yes,270.165,-10,
SSS3/SHS3,No,270.165,4,6.733402
.,.,270.165,,
P5,No,270.165,13,7.642045
.,.,270.165,,
JSS3/JHS3,No,270.165,21,
JSS/JHS 2,No,270.165,10,
None,Yes,270.165,-9,
SS1/SHS1,No,270.165,15,7.863113
JSS3/JHS3,No,270.165,16,8.34284
JSS3/JHS3,No,270.165,15,6.659294
M4,No,270.165,42,
P3,No,270.165,40,7.863113
JSS/JHS 2,Yes,270.165,3,
P1,Yes,270.165,-8,
None,Yes,270.165,-10,
.,.,,,
P4,No,270.165,35,
SS1/SHS1,Yes,270.165,3,
P6,No,270.165,58,
.,.,270.165,,7.642045
.,.,214.577,,6.907755
.,.,214.577,,6.948897
P4,Yes,214.577,-5,
.,.,214.577,,
JSS3/JHS3,No,214.577,17,4.248495
P2,Yes,214.577,-8,
.,.,,,
.,.,214.577,,
.,.,214.577,,
SS1/SHS1,Yes,214.577,3,
P6,No,214.577,1,
P5,Yes,214.577,-1,
P1,Yes,214.577,-7,
P1,Yes,214.577,-8,
.,.,,,
.,.,214.577,,10.18405
SSS3/SHS3,No,214.577,13,7.495542
.,.,214.577,,6.659294
Pre school,Yes,214.577,-11,
.,.,,,
JSS3/JHS3,No,214.577,17,7.495542
M4,No,214.577,34,7.090077
P3,No,214.577,20,
JSS3/JHS3,Yes,214.577,4,
SSS2/SHS2,Yes,214.577,2,
JSS/JHS 2,Yes,214.577,0,
P6,Yes,214.577,4,
P6,Yes,214.577,1,
P3,Yes,214.577,-5,
.,.,214.577,,
P1,Yes,214.577,-7,
.,.,,,
.,.,214.577,,7.863113
P5,Yes,214.577,-4,
Pre school,Yes,214.577,-9,
Pre school,Yes,214.577,-11,
.,.,214.577,,8.646026
P3,No,214.577,12,6.253829
P1,Yes,214.577,-4,
Pre school,Yes,214.577,-8,
Pre school,Yes,214.577,-12,
M4,No,214.577,44,8.108202
JSS3/JHS3,No,214.577,29,8.17459
.,.,214.577,,6.39693
JSS1/JHS1,Yes,214.577,-3,
P1,Yes,214.577,-5,
P4,No,214.577,41,7.864938
SSS3/SHS3,No,214.577,15,7.172041
P6,No,214.577,12,7.642045
SSS3/SHS3,No,214.577,4,7.864938
P4,Yes,214.577,-2,
Pre school,Yes,214.577,-9,
.,.,,,
.,.,214.577,,4.867535
P5,Yes,214.577,-1,
P4,No,183.038,26,10.71415
JSS3/JHS3,No,183.038,23,8.556107
SS1/SHS1,Yes,183.038,3,
JSS3/JHS3,Yes,183.038,2,
.,.,183.038,,
P6,No,183.038,14,7.377759
P2,No,183.038,12,
.,.,183.038,,
.,.,,,
P1,No,183.038,10,7.989289
P1,No,183.038,22,7.09091
P3,No,183.038,16,
P4,No,183.038,12,7.090077
P1,No,183.038,25,9.471204
P3,No,183.038,13,
P3,Yes,183.038,-3,
P3,Yes,183.038,-4,
Pre school,Yes,183.038,-6,
P1,Yes,183.038,-6,
.,.,,,
P6,No,183.038,24,8.850016
M3,No,183.038,24,7.783224
JSS3/JHS3,No,183.038,8,7.476472
P3,No,183.038,5,
.,.,,,
P3,No,183.038,7,6.966024
.,.,183.038,,7.600903
P2,No,183.038,10,
.,.,,,
.,.,,,
.,.,183.038,,8.23079
.,.,183.038,,
.,.,183.038,,7.272398
P3,Yes,183.038,-2,
P1,Yes,183.038,-3,
JSS3/JHS3,No,183.038,11,7.302496
.,.,,,
P3,No,183.038,19,8.156496
P2,No,183.038,15,
.,.,183.038,,
JSS3/JHS3,No,183.038,25,8.696928
P1,No,183.038,16,7.090077
Pre school,Yes,183.038,-5,
P3,Yes,183.038,-2,
.,.,,,
JSS3/JHS3,No,349.124,22,8.51979
Pre school,No,349.124,12,7.955714
P6,No,349.124,31,8.594154
SSS3/SHS3,No,349.124,7,8.188689
University,No,349.124,29,10.26813
JSS3/JHS3,No,349.124,10,
.,.,349.124,,
.,.,,,
SSS3/SHS3,No,349.124,19,6.579251
None,Yes,349.124,-11,
JSS1/JHS1,No,349.124,30,8.785713
JSS/JHS 2,No,349.124,22,8.717682
P5,No,349.124,0,
P1,Yes,349.124,-5,
Pre school,Yes,349.124,-8,
.,.,349.124,,
S3,No,349.124,26,
P5,No,349.124,25,6.438072
SSS3/SHS3,Yes,349.124,2,
SS1/SHS1,Yes,349.124,2,
University,No,349.124,7,9.251482
P4,No,349.124,37,
P6,No,349.124,31,8.51979
P5,Yes,349.124,-2,
P3,Yes,349.124,-4,
P1,Yes,349.124,-7,
None,Yes,349.124,-9,
SSS3/SHS3,Yes,349.124,3,
JSS3/JHS3,Yes,349.124,3,6.518114
JSS3/JHS3,No,349.124,12,9.141418
JSS3/JHS3,No,349.124,24,7.495542
M4,No,349.124,25,8.443332
SSS3/SHS3,Yes,349.124,1,
JSS/JHS 2,Yes,349.124,-1,
P5,Yes,349.124,-5,
.,.,349.124,,7.129298
M4,No,349.124,29,7.768533
Voc//Tec,No,349.124,,6.25575
JSS/JHS 2,Yes,349.124,-1,
JSS1/JHS1,Yes,349.124,-3,
Pre school,Yes,349.124,-10,
SSS3/SHS3,No,349.124,13,7.864938
JSS/JHS 2,Yes,349.124,2,
.,.,,,
.,.,,,
JSS1/JHS1,No,349.124,12,6.733402
P5,No,349.124,6,8.312675
Pre school,Yes,349.124,-12,
.,.,,,
P6,No,349.124,14,8.509967
P6,No,349.124,11,8.214259
None,Yes,349.124,-10,
None,Yes,349.124,-12,
.,.,,,
JSS1/JHS1,No,354.199,14,8.594154
SSS3/SHS3,No,354.199,10,8.17459
P3,Yes,354.199,-6,
P1,Yes,354.199,-7,
None,Yes,354.199,-10,
SSS3/SHS3,Yes,354.199,6,8.39841
SSS3/SHS3,No,354.199,7,
JSS3/JHS3,Yes,354.199,9,
JSS3/JHS3,No,354.199,21,7.863113
.,.,354.199,,
P4,Yes,354.199,-3,
P1,Yes,354.199,-7,
None,Yes,354.199,-9,
M4,No,354.199,27,7.863113
.,.,354.199,,
JSS1/JHS1,Yes,354.199,1,
P2,Yes,354.199,-6,
P1,Yes,354.199,-7,
None,Yes,354.199,-11,
.,.,,,
P3,Yes,354.199,-3,
JSS3/JHS3,No,354.199,14,7.863113
JSS3/JHS3,No,354.199,11,
P1,Yes,354.199,-8,
.,.,,,
SSS3/SHS3,No,354.199,21,7.864938
M4,No,354.199,25,7.352441
P6,Yes,354.199,-5,
P1,Yes,354.199,-9,
.,.,,,
P1,Yes,354.199,-8,
SSS3/SHS3,No,354.199,14,8.699514
None,Yes,354.199,-11,
M4,No,354.199,61,
P3,No,354.199,46,
M4,No,354.199,51,
P6,No,354.199,39,7.354362
P5,Yes,354.199,-4,
None,Yes,354.199,-10,
None,Yes,354.199,-9,
SSS3/SHS3,No,354.199,15,
SSS3/SHS3,No,354.199,13,8.517993
P6,Yes,354.199,-4,
P3,Yes,354.199,-7,
SSS3/SHS3,Yes,354.199,3,8.34284
M4,No,354.199,56,
.,.,354.199,,
SSS2/SHS2,Yes,354.199,5,
JSS/JHS 2,Yes,354.199,1,
.,.,354.199,,7.642045
P6,No,354.199,8,
P5,No,354.199,6,6.866933
JSS3/JHS3,No,354.199,3,
JSS3/JHS3,No,406.922,28,8.421585
P4,Yes,406.922,-4,
University,Yes,406.922,16,9.729135
JSS3/JHS3,No,406.922,13,6.25575
Pre school,Yes,406.922,-8,
None,Yes,406.922,-11,
.,.,,,
P3,Yes,406.922,1,
P5,No,406.922,24,8.251664
.,.,406.922,,6.659294
P1,Yes,406.922,-5,
None,Yes,406.922,-8,
.,.,,,
University,No,406.922,27,10.14594
SSS3/SHS3,Yes,406.922,7,
SHS4,No,406.922,,7.104965
JSS3/JHS3,Yes,406.922,1,
tech training,No,406.922,43,7.17012
tech training,No,406.922,42,
.,.,406.922,,7.090077
P6,No,406.922,45,5.968068
P6,Yes,406.922,1,
P6,Yes,406.922,0,
Pre school,Yes,406.922,-4,
None,Yes,406.922,-12,
University,No,406.922,25,9.92329
University,No,406.922,9,9.131297
P6,Yes,406.922,2,
Pre school,Yes,406.922,-9,
.,.,,,
P6,No,406.922,14,
JSS1/JHS1,Yes,406.922,2,
P6,Yes,406.922,0,
JSS3/JHS3,No,406.922,18,9.794258
SSS3/SHS3,No,406.922,14,8.879733
P5,Yes,406.922,-4,
Pre school,Yes,406.922,-9,
.,.,,,
JSS3/JHS3,Yes,406.922,3,
M4,No,406.922,25,7.642045
P2,Yes,406.922,-6,
None,Yes,406.922,-8,
None,Yes,406.922,-10,
None,Yes,406.922,-12,
SSS3/SHS3,No,406.922,13,9.035987
SSS3/SHS3,Yes,406.922,10,8.188689
None,Yes,406.922,-11,
.,.,,,
P5,Yes,406.922,0,
JSS1/JHS1,No,406.922,20,7.863113
P6,Yes,406.922,0,
P3,Yes,406.922,-4,
Pre school,Yes,406.922,-8,
None,Yes,406.922,-10,
.,.,,,
tech training,No,406.922,24,10.11172
M4,No,406.922,26,
JSS1/JHS1,Yes,406.922,-1,
P4,Yes,406.922,-5,
P1,Yes,406.922,-8,
P1,No,406.922,49,
University,Yes,406.922,18,9.169518
JSS3/JHS3,No,406.922,26,7.354362
JSS/JHS 2,Yes,406.922,0,
None,Yes,406.922,-9,
.,.,,,
.,.,330.349,,
SSS3/SHS3,No,330.349,8,
P3,Yes,330.349,-5,
P1,Yes,330.349,-6,
P1,Yes,330.349,-7,
Pre school,Yes,330.349,-8,
.,.,330.349,,7.090077
.,.,330.349,,
None,Yes,330.349,-7,
.,.,330.349,,
.,.,330.349,,7.999544
.,.,330.349,,
SSS3/SHS3,Yes,330.349,9,
SSS2/SHS2,Yes,330.349,6,
.,.,330.349,,
SS1/SHS1,Yes,330.349,4,
P2,Yes,330.349,-5,
JSS3/JHS3,No,330.349,14,
.,.,330.349,,
M3,No,330.349,35,6.39693
.,.,,,
P2,No,330.349,17,
Pre school,No,330.349,14,
JSS3/JHS3,No,330.349,11,
P4,No,330.349,4,
JSS1/JHS1,Yes,330.349,0,
.,.,330.349,,
.,.,,,
.,.,330.349,,8.646026
.,.,330.349,,
P6,Yes,330.349,0,
P5,Yes,330.349,-2,
P2,Yes,330.349,-4,
None,Yes,330.349,-9,
P5,No,330.349,22,9.272141
P5,No,330.349,27,7.090077
SS1/SHS1,Yes,330.349,3,
P4,Yes,330.349,0,
P3,Yes,330.349,-2,
P3,Yes,330.349,-2,
JSS3/JHS3,Yes,330.349,2,
Pre school,Yes,330.349,-8,
P3,No,330.349,35,7.090077
P5,Yes,330.349,0,6.39693
tech training,No,330.349,54,
JSS3/JHS3,No,330.349,21,
.,.,330.349,,
P1,Yes,330.349,-8,
.,.,,,
.,.,,,
JSS3/JHS3,Yes,330.349,1,
JSS/JHS 2,Yes,330.349,-1,
JSS3/JHS3,Yes,330.349,13,7.138867
JSS3/JHS3,No,330.349,10,5.886104
.,.,,,
P1,No,330.349,40,
JSS3/JHS3,No,330.349,3,
JSS/JHS 2,No,330.349,25,
.,.,330.349,,
.,.,330.349,,7.864938
None,Yes,330.349,-9,
None,Yes,330.349,-12,
.,.,330.349,,
.,.,330.349,,7.783224
.,.,,,
JSS1/JHS1,Yes,330.349,2,
P3,Yes,330.349,-3,
P2,Yes,330.349,-4,
None,Yes,330.349,-8,
JSS1/JHS1,No,330.349,33,7.783224
P6,No,330.349,25,9.392662
JSS3/JHS3,Yes,330.349,3,
P4,Yes,330.349,-3,
P3,Yes,330.349,-6,
SSS3/SHS3,Yes,330.349,1,
JSS3/JHS3,Yes,330.349,4,
P2,Yes,330.349,-3,
M4,No,376.074,46,8.476371
.,.,376.074,,
JSS1/JHS1,Yes,376.074,1,
P4,Yes,376.074,-2,
P3,Yes,376.074,-7,
None,Yes,376.074,-11,
SSS3/SHS3,Yes,376.074,4,
JSS3/JHS3,No,376.074,7,7.352441
.,.,,,
JSS3/JHS3,No,376.074,20,
P3,Yes,376.074,-5,
P1,Yes,376.074,-7,
.,.,,,
JSS3/JHS3,No,376.074,13,
Voc//Tec,No,376.074,,
None,Yes,376.074,-9,
.,.,,,
P4,No,376.074,7,6.253829
Pre school,Yes,376.074,-7,
.,.,,,
M4,No,376.074,41,7.863113
M4,No,376.074,43,
P3,No,376.074,15,7.863113
None,Yes,376.074,-8,
M4,No,376.074,47,7.352441
M4,No,376.074,44,
P5,Yes,376.074,-4,
None,Yes,376.074,-11,
SSS3/SHS3,No,376.074,11,
JSS3/JHS3,No,376.074,14,
.,.,,,
.,.,,,
.,.,,,
SSS3/SHS3,No,376.074,11,8.047509
JSS/JHS 2,No,376.074,8,7.17012
.,.,,,
.,.,376.074,,
JSS/JHS 2,No,376.074,15,
JSS3/JHS3,Yes,376.074,2,
P4,Yes,376.074,-5,
M3,No,376.074,34,
JSS1/JHS1,Yes,376.074,-2,
P5,No,376.074,6,7.495542
JSS1/JHS1,No,376.074,3,
.,.,,,
P5,No,376.074,53,
JSS1/JHS1,Yes,376.074,3,
JSS1/JHS1,Yes,376.074,0,
P5,Yes,376.074,-3,
P3,Yes,376.074,-5,
Pre school,Yes,376.074,-8,
None,Yes,376.074,-11,
M4,No,515.752,30,8.274867
M4,No,515.752,29,7.090077
P4,No,515.752,18,7.377759
Pre school,Yes,515.752,-6,
None,Yes,515.752,-8,
None,Yes,515.752,-10,
.,.,,,
.,.,515.752,,6.984716
.,.,515.752,,7.090077
.,.,515.752,,7.090077
.,.,515.752,,8.251664
None,Yes,515.752,-8,
None,Yes,515.752,-9,
JSS3/JHS3,No,515.752,20,7.17012
M4,No,515.752,34,8.646026
M4,No,515.752,31,7.185387
JSS/JHS 2,Yes,515.752,7,
JSS3/JHS3,Yes,515.752,4,
JSS1/JHS1,Yes,515.752,2,
JSS1/JHS1,Yes,515.752,-1,
P3,Yes,515.752,-3,
None,Yes,515.752,-8,
None,Yes,515.752,-10,
None,Yes,515.752,-10,
tech training,No,515.752,3,7.495542
M4,No,515.752,31,8.147462
.,.,515.752,,7.495542
P3,Yes,515.752,-3,
P1,Yes,515.752,-5,
None,Yes,515.752,-8,
.,.,,,
.,.,515.752,,6.907755
JSS3/JHS3,No,515.752,15,7.863113
JSS3/JHS3,No,515.752,19,9.10359
JSS3/JHS3,No,515.752,13,8.781479
P3,Yes,515.752,-4,
Pre school,Yes,515.752,-9,
.,.,,,
.,.,,,
Voc//Tec,No,515.752,,8.251664
JSS3/JHS3,No,515.752,7,7.549609
U6,No,424.448,,9.392662
Polytechnic,No,424.448,13,9.218308
.,.,,,
.,.,,,
.,.,424.448,,8.51979
P6,No,424.448,18,
P1,Yes,424.448,-6,
None,Yes,424.448,-9,
.,.,,,
M4,No,424.448,43,
JSS3/JHS3,No,424.448,13,
JSS3/JHS3,Yes,424.448,2,
JSS1/JHS1,Yes,424.448,0,
P5,Yes,424.448,-1,
Nursing,No,424.448,36,9.793449
tech training,Yes,424.448,15,8.961879
None,No,424.448,23,
P6,No,424.448,18,
P6,Yes,424.448,-1,
P4,Yes,424.448,-6,
None,Yes,424.448,-12,
JSS3/JHS3,No,424.448,22,8.51979
JSS3/JHS3,No,424.448,15,
.,.,,,
None,Yes,424.448,-9,
.,.,,,
JSS3/JHS3,No,424.448,17,8.879733
JSS3/JHS3,No,424.448,14,
P3,Yes,424.448,-3,
None,Yes,424.448,-8,
None,Yes,424.448,-11,
P4,No,424.448,25,
P3,Yes,424.448,-3,
P1,Yes,424.448,-6,
.,.,424.448,,
P6,No,424.448,12,
P1,No,424.448,7,
None,Yes,424.448,-10,
.,.,424.448,,
.,.,,,
.,.,424.448,,
P1,Yes,424.448,-3,
Pre school,Yes,424.448,-7,
None,Yes,424.448,-8,
JSS3/JHS3,No,424.448,10,7.863113
.,.,424.448,,7.090077
None,Yes,424.448,-10,
.,.,,,
JSS1/JHS1,No,424.448,11,9.348634
P4,No,424.448,8,
None,Yes,424.448,-9,
None,Yes,424.448,-11,
.,.,,,
P2,No,424.448,30,
P3,No,424.448,7,7.354362
P4,Yes,424.448,4,
None,Yes,424.448,-5,
P1,No,424.448,20,8.253423
P6,Yes,424.448,0,
JSS1/JHS1,Yes,424.448,-2,
P1,Yes,424.448,-4,
JSS3/JHS3,No,886.857,13,6.684612
tech training,No,886.857,12,9.169518
P6,No,886.857,15,11.52434
JSS1/JHS1,No,886.857,5,
.,.,,,
.,.,,,
P6,No,886.857,16,8.319717
JSS/JHS 2,No,886.857,11,
Pre school,Yes,886.857,-8,
None,Yes,886.857,-8,
.,.,,,
M4,No,886.857,23,6.39693
P6,No,886.857,21,
None,Yes,886.857,-10,
.,.,886.857,,
.,.,886.857,,6.39693
.,.,886.857,,6.214608
P4,No,886.857,41,6.907755
P6,No,886.857,35,
P4,No,886.857,-3,
P6,No,886.857,6,
P6,No,886.857,3,
JSS/JHS 2,Yes,886.857,0,
None,Yes,886.857,-9,
.,.,886.857,,
JSS3/JHS3,No,886.857,16,6.907755
JSS1/JHS1,No,886.857,14,
P1,Yes,886.857,-2,
P4,Yes,886.857,0,
JSS3/JHS3,No,886.857,20,6.802395
P6,No,886.857,15,
P6,Yes,886.857,-5,
P3,Yes,886.857,-8,
.,.,,,
None,Yes,886.857,-11,
M4,No,886.857,23,6.684612
JSS3/JHS3,No,886.857,19,
P4,Yes,886.857,-3,
P2,Yes,886.857,-9,
None,Yes,886.857,-12,
JSS3/JHS3,No,886.857,9,5.991465
P1,Yes,886.857,-8,
None,Yes,886.857,-11,
JSS3/JHS3,No,886.857,7,7.495542
P6,No,886.857,5,7.090077
P5,No,886.857,6,5.991465
JSS/JHS 2,No,886.857,7,
None,Yes,886.857,-10,
.,.,,,
.,.,,,
.,.,886.857,,6.214608
.,.,886.857,,
P5,Yes,886.857,0,
None,No,441.895,34,8.066208
None,No,441.895,31,7.663877
JSS3/JHS3,No,441.895,3,7.560081
P4,Yes,441.895,1,
P6,Yes,441.895,-1,
None,Yes,441.895,-11,
SSS3/SHS3,No,441.895,22,8.095103
SSS3/SHS3,No,441.895,14,
P2,Yes,441.895,-4,
Pre school,Yes,441.895,-7,
.,.,,,
.,.,441.895,,6.97073
M4,No,441.895,36,8.631268
M4,No,441.895,31,
JSS3/JHS3,No,441.895,8,7.495542
.,.,441.895,,
.,.,,,
M4,No,441.895,62,8.069343
.,.,441.895,,6.579251
P5,No,441.895,37,7.907081
P5,No,441.895,30,8.184514
.,.,441.895,,6.670766
P2,Yes,441.895,-5,
P1,Yes,441.895,-8,
Pre school,No,441.895,31,6.802395
JSS3/JHS3,No,441.895,9,8.553332
JSS3/JHS3,No,441.895,4,8.443332
JSS1/JHS1,Yes,441.895,1,
P1,Yes,441.895,-5,
M4,No,441.895,40,8.337588
Pre school,No,441.895,36,6.25575
P3,Yes,441.895,-2,
P5,Yes,441.895,-2,
Pre school,Yes,441.895,-7,
None,Yes,441.895,-9,
JSS3/JHS3,No,441.895,23,8.580168
P6,No,441.895,22,7.642045
JSS3/JHS3,No,441.895,4,
JSS3/JHS3,No,441.895,2,
JSS1/JHS1,Yes,441.895,0,
P2,Yes,441.895,-5,
None,Yes,441.895,-9,
.,.,,,
M4,No,441.895,45,6.54103
P5,No,441.895,23,
P1,Yes,441.895,-6,
None,Yes,441.895,-9,
.,.,441.895,,5.991465
JSS3/JHS3,No,441.895,21,6.948897
Pre school,Yes,441.895,-6,
None,Yes,441.895,-8,
P6,No,441.895,42,8.1873
P4,No,441.895,6,
P3,No,441.895,-1,
.,.,441.895,,
.,.,,,
M4,No,441.895,25,8.535819
JSS1/JHS1,No,441.895,20,
P6,Yes,441.895,0,
P2,Yes,441.895,-3,
None,Yes,441.895,-8,
None,Yes,441.895,-12,
JSS3/JHS3,No,441.895,23,8.885994
P1,No,441.895,20,
.,.,,,
.,.,,,
M4,No,441.895,32,10.6953
JSS1/JHS1,No,441.895,23,8.443332
P2,Yes,441.895,-6,
P2,Yes,441.895,-6,
None,Yes,441.895,-8,
None,Yes,441.895,-10,
JSS1/JHS1,No,459.748,41,8.517993
JSS3/JHS3,Yes,459.748,2,7.863113
P6,No,459.748,16,6.866933
JSS3/JHS3,No,459.748,14,
P1,Yes,459.748,-6,
Pre school,Yes,459.748,-9,
None,Yes,459.748,-11,
P1,No,459.748,36,
.,.,459.748,,
.,.,459.748,,
.,.,459.748,,
.,.,459.748,,8.517993
P3,Yes,459.748,1,
P2,Yes,459.748,-6,
.,.,459.748,,
SSS3/SHS3,No,459.748,8,7.495542
.,.,459.748,,9.348634
.,.,459.748,,7.642045
None,Yes,459.748,-11,
