Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Belize,BLZ,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Belize,BLZ,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Benin,BEN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,44,..,..,..
Benin,BEN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,86.5,..,..,..
Bermuda,BMU,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Bermuda,BMU,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Bhutan,BTN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,2.1,..,..
Bhutan,BTN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,10.1,..,..
Bolivia,BOL,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,7.4,6.1,6.6,5.8,..
Bolivia,BOL,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,19.5,17.1,18.5,16.5,..
Bosnia and Herzegovina,BIH,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Bosnia and Herzegovina,BIH,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Botswana,BWA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Botswana,BWA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Brazil,BRA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,7.1,12.7,9.9,8.8,..
Brazil,BRA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,20.8,30.5,25.3,23.4,..
British Virgin Islands,VGB,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
British Virgin Islands,VGB,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Brunei Darussalam,BRN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Brunei Darussalam,BRN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Bulgaria,BGR,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,1.9,2.5,2.1,..,..
Bulgaria,BGR,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,5.8,6.5,5.5,..,..
Burkina Faso,BFA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,52.4,..,..,..
Burkina Faso,BFA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,90.4,..,..,..
Burundi,BDI,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,69.9,..,..,..,..
Burundi,BDI,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,97.4,..,..,..,..
Cabo Verde,CPV,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Cabo Verde,CPV,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Cambodia,KHM,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Cambodia,KHM,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Cameroon,CMR,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,37.5,..,..,..
Cameroon,CMR,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,74,..,..,..
Canada,CAN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.2,..,..,..,..
Canada,CAN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,0.5,..,..,..,..
Caribbean small states,CSS,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Caribbean small states,CSS,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Cayman Islands,CYM,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Cayman Islands,CYM,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Central African Republic,CAF,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,69.2,..,..,..
Central African Republic,CAF,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,96.1,..,..,..
Central Europe and the Baltics,CEB,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Central Europe and the Baltics,CEB,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Chad,TCD,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,51.2,..,..
Chad,TCD,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,89.5,..,..
Channel Islands,CHI,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Channel Islands,CHI,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Chile,CHL,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,3.8,..,1.6,..,..
Chile,CHL,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,11.3,..,5.7,..,..
China,CHN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,7.6,4.7,..,..,..
China,CHN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,29.5,21,..,..,..
Colombia,COL,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,22.1,19.4,17.1,15.4,..
Colombia,COL,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,48,44,40.2,37.6,..
Comoros,COM,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Comoros,COM,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
"Congo, Dem. Rep.",COD,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,78,..,..,..,..
"Congo, Dem. Rep.",COD,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,98,..,..,..,..
"Congo, Rep.",COG,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
"Congo, Rep.",COG,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Costa Rica,CRI,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,8.4,5.7,5.4,4.9,3.9
Costa Rica,CRI,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,23.3,17.8,17.1,15.3,12.6
Cote d'Ivoire,CIV,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,38.6,..,..,..
Cote d'Ivoire,CIV,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,80.9,..,..,..
