Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
IDA blend,IDB,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
IDA blend,IDB,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
IDA only,IDX,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
IDA only,IDX,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
IDA total,IDA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
IDA total,IDA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
India,IND,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,31.1,..,..
India,IND,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,82.1,..,..
Indonesia,IDN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,28.6,27.3,27.6,26.7,25.5
Indonesia,IDN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,69.4,68.5,70.3,69.6,68.3
"Iran, Islamic Rep.",IRN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,16.5,14.1,12.3,11.3,..
"Iran, Islamic Rep.",IRN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,48.4,42.8,39,36.1,..
Iraq,IRQ,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,6.6,..
Iraq,IRQ,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,28,..
Ireland,IRL,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.2,0.2,0.2,..,..
Ireland,IRL,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,0.2,0.3,0.3,..,..
Isle of Man,IMN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Isle of Man,IMN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Israel,ISR,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,1.5,1.4,..,..,..
Israel,ISR,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,4.4,4.2,..,..,..
Italy,ITA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,1.2,1,0.8,..,..
Italy,ITA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,2.4,1.7,1.6,..,..
Jamaica,JAM,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,7,..,..,..
Jamaica,JAM,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,22.9,..,..,..
Japan,JPN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,1.5,..,..,..,..
Japan,JPN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,3.2,..,..,..,..
Jordan,JOR,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Jordan,JOR,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Kazakhstan,KAZ,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,3.1,2.4,..,..,..
Kazakhstan,KAZ,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,18.6,15.2,..,..,..
Kenya,KEN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,53.6,54.3,..,..,..
Kenya,KEN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,91,91.3,..,..,..
Kiribati,KIR,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Kiribati,KIR,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
"Korea, Dem. People's Rep.",PRK,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
"Korea, Dem. People's Rep.",PRK,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
"Korea, Rep.",KOR,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.2,0.2,..,..,..
"Korea, Rep.",KOR,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,0.5,0.5,..,..,..
Kosovo,XKX,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,20.7,27.2,..,..,..
Kosovo,XKX,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,38.9,47,..,..,..
Kuwait,KWT,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Kuwait,KWT,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Kyrgyz Republic,KGZ,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,33.4,29.3,28.2,..,..
Kyrgyz Republic,KGZ,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,81.3,76.9,76.8,..,..
Lao PDR,LAO,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Lao PDR,LAO,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Late-demographic dividend,LTE,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Late-demographic dividend,LTE,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Latin America & Caribbean,LCN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,12.1,12.6,11,10.3,..
Latin America & Caribbean,LCN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,31.1,31.7,28.6,27.3,..
Latin America & Caribbean (excluding high income),LAC,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Latin America & Caribbean (excluding high income),LAC,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Latvia,LVA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,1.1,1,1,..,..
Latvia,LVA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,2.9,2.4,2.9,..,..
Least developed countries: UN classification,LDC,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Least developed countries: UN classification,LDC,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Lebanon,LBN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Lebanon,LBN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Lesotho,LSO,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Lesotho,LSO,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Liberia,LBR,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Liberia,LBR,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Libya,LBY,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Libya,LBY,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Liechtenstein,LIE,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Liechtenstein,LIE,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Lithuania,LTU,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.7,0.6,1.1,..,..
Lithuania,LTU,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,1.8,1.4,2.6,..,..
Low & middle income,LMY,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,26.8,25.7,24.9,24.2,..
Low & middle income,LMY,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,60.3,57.9,57.1,55.9,..
Low income,LIC,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,62.6,62.7,62.5,..,..
Low income,LIC,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,93.1,93.4,93.5,..,..
Lower middle income,LMC,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,35.8,34.7,33.3,32,..
Lower middle income,LMC,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,79.9,78.9,77.6,76.1,..
Luxembourg,LUX,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0,0.2,0.1,..,..
Luxembourg,LUX,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,0,0.5,0.2,..,..
"Macao SAR, China",MAC,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
"Macao SAR, China",MAC,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Madagascar,MDG,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Madagascar,MDG,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Malawi,MWI,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Malawi,MWI,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Malaysia,MYS,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,0.5,..,..,..
Malaysia,MYS,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,2.9,..,..,..
Maldives,MDV,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Maldives,MDV,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Mali,MLI,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,48.8,..,..,..
Mali,MLI,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,88.6,..,..,..
Malta,MLT,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.5,0.2,0.3,..,..
Malta,MLT,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,1,0.5,0.7,..,..
Marshall Islands,MHL,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Marshall Islands,MHL,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Mauritania,MRT,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Mauritania,MRT,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Mauritius,MUS,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Mauritius,MUS,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Mexico,MEX,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,12.6,..,8.5,..,..
Mexico,MEX,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,36.5,..,27.4,..,..
"Micronesia, Fed. Sts.",FSM,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
"Micronesia, Fed. Sts.",FSM,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,19.9,19.3,18.6,18.4,..
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,53,51.4,49.8,49,..
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Middle income,MIC,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Middle income,MIC,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Moldova,MDA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,2.7,3.5,..,..
Moldova,MDA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,15.4,19.7,..,..
Monaco,MCO,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Monaco,MCO,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Mongolia,MNG,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,6,..,..
Mongolia,MNG,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,24.4,..,..
Montenegro,MNE,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,6.1,5.1,..,..,..
Montenegro,MNE,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,17.6,14.5,..,..,..
Morocco,MAR,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Morocco,MAR,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Mozambique,MOZ,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Mozambique,MOZ,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Myanmar,MMR,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Myanmar,MMR,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Namibia,NAM,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Namibia,NAM,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Nauru,NRU,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Nauru,NRU,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Nepal,NPL,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,16.1,..,..
Nepal,NPL,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,52.6,..,..
Netherlands,NLD,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.1,0.1,..,..,..
Netherlands,NLD,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,0.3,0.3,..,..,..
New Caledonia,NCL,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
New Caledonia,NCL,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
New Zealand,NZL,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
New Zealand,NZL,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Nicaragua,NIC,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Nicaragua,NIC,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Niger,NER,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,61.9,..,..,..
Niger,NER,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,96.1,..,..,..
Nigeria,NGA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Nigeria,NGA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
North America,NAC,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
North America,NAC,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
North Macedonia,MKD,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
North Macedonia,MKD,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Northern Mariana Islands,MNP,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Northern Mariana Islands,MNP,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Norway,NOR,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.3,0.2,0.4,..,..
Norway,NOR,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,0.5,0.4,0.7,..,..
Not classified,INX,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Not classified,INX,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
OECD members,OED,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
OECD members,OED,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Oman,OMN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Oman,OMN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Other small states,OSS,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Other small states,OSS,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Pacific island small states,PSS,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Pacific island small states,PSS,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Pakistan,PAK,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Pakistan,PAK,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Palau,PLW,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Palau,PLW,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Panama,PAN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,7.6,..,7.7,..
Panama,PAN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,20.3,..,19.8,..
Papua New Guinea,PNG,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Papua New Guinea,PNG,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Paraguay,PRY,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,9.3,8.5,9.1,7.7,..
Paraguay,PRY,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,27.9,27,26.3,23.2,..
Peru,PER,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,20,13.9,13.5,14.1,..
Peru,PER,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,48.1,39.5,37.8,38.3,..
Philippines,PHL,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,24.4,..,21.5,..
Philippines,PHL,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,62.3,..,58.7,..
Poland,POL,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.4,0.3,0.6,..,..
Poland,POL,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,1.2,1.1,1.5,..,..
Portugal,PRT,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,1.1,0.6,0.8,..,..
Portugal,PRT,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,2.9,1.9,2.8,..,..
Post-demographic dividend,PST,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Post-demographic dividend,PST,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Pre-demographic dividend,PRE,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Pre-demographic dividend,PRE,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Puerto Rico (US),PRI,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Puerto Rico (US),PRI,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Qatar,QAT,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Qatar,QAT,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Romania,ROU,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,4.5,3.4,3.2,..,..
Romania,ROU,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,10.8,7.7,8.6,..,..
Russian Federation,RUS,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.5,0.6,..,..,..
Russian Federation,RUS,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,2,2.2,..,..,..
Rwanda,RWA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Rwanda,RWA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Samoa,WSM,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Samoa,WSM,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
San Marino,SMR,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
San Marino,SMR,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Sao Tome and Principe,STP,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Sao Tome and Principe,STP,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Saudi Arabia,SAU,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Saudi Arabia,SAU,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Senegal,SEN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,36,..,..,..
Senegal,SEN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,78.6,..,..,..
Serbia,SRB,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,4.4,3.4,3.8,..,..
Serbia,SRB,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,12.6,9.4,10.3,..,..
Seychelles,SYC,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Seychelles,SYC,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Sierra Leone,SLE,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Sierra Leone,SLE,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Singapore,SGP,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Singapore,SGP,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Sint Maarten (Dutch part),SXM,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Sint Maarten (Dutch part),SXM,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Slovak Republic,SVK,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.7,1,2.3,..,..
Slovak Republic,SVK,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,2.3,2.8,6.6,..,..
Slovenia,SVN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0,0,0.1,..,..
Slovenia,SVN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,0.1,0.1,0.2,..,..
Small states,SST,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Small states,SST,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Solomon Islands,SLB,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
